Competitor, Mode, Previous traffic, Current traffic, Traffic change, Previous traffic value, Current traffic value, Traffic value change, Previous # of pages, Current # of pages, Pages change
okara.ai, Subdomains, 580, 581, 1, 115, 131, 16, 23, 26, 3
oakra.com, Subdomains, 214, 11, -203, 6, 0, -6, 11, 2, -9
aymo.ai, Subdomains, 63, 163, 100, 173, 295, 122, 2, 3, 1
saner.ai, Subdomains, 21824, 10277, -11547, 28508, 16411, -12097, 191, 156, -35
pullpush.io, Subdomains, 7942, 8728, 786, 75806, 87663, 11857, 61, 33, -28
graygrids.com, Subdomains, 1418, 1593, 175, 2568, 2817, 249, 71, 68, -3
